sample_id,anc_label,n_sites,prop_sites,tool
HG02262,EUR,1106,0.21866350336101226,rfmix
HG02265,EAS,5058,1.0,rfmix
HG02266,EAS,4485,0.8867141162514828,rfmix
HG02266,EUR,573,0.1132858837485172,rfmix
HG02271,EAS,5058,1.0,rfmix
HG02272,EAS,5058,1.0,rfmix
HG02274,AFR,4084,0.8074337682878608,rfmix
HG02274,EUR,974,0.19256623171213919,rfmix
HG02275,EAS,5058,1.0,rfmix
HG02278,EAS,5058,1.0,rfmix
HG02298,EAS,3606,0.7129300118623962,rfmix
HG02298,EUR,1452,0.2870699881376038,rfmix
HG02299,EAS,5058,1.0,rfmix
HG02345,EAS,4578,0.9051008303677343,rfmix
HG02345,EUR,480,0.09489916963226572,rfmix
HG02425,AFR,4149,0.8202846975088968,rfmix
HG02425,EAS,664,0.1312771846579676,rfmix
HG02425,EUR,245,0.048438117833135626,rfmix
